"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
15,"Veneno",-1.68479839124703,0.408582950229321,475.307903190399,-2.48765061841559,-0.881946164078466,"BgNav1","1","Corriente"
20,"Control",-0.656914209625675,0.412190543917512,475.307903190399,-1.46685524122344,0.153026821972095,"BgNav1","1","Corriente"
20,"Veneno",-1.25487799060062,0.410755253885676,475.307903190399,-2.06199872390145,-0.447757257299794,"BgNav1","1","Corriente"
25,"Control",-0.368240218490217,0.410542423925669,475.307903190399,-1.17494274783196,0.438462310851525,"BgNav1","1","Corriente"
25,"Veneno",-0.862659144486258,0.409208376083798,475.307903190399,-1.66674031314617,-0.0585779758263421,"BgNav1","1","Corriente"
30,"Control",-0.134057337069931,0.411207810674393,475.307903190399,-0.942067329762362,0.6739526556225,"BgNav1","1","Corriente"
30,"Veneno",-0.506033868806436,0.409839154676989,475.307903190399,-1.31135449691543,0.299286759302556,"BgNav1","1","Corriente"
35,"Control",0.0618463457120648,0.411869973014225,475.307903190399,-0.747464774472306,0.871157465896435,"BgNav1","1","Corriente"
35,"Veneno",-0.171689515149183,0.410446981599501,475.307903190399,-0.978204503419798,0.634825473121432,"BgNav1","1","Corriente"
40,"Control",0.217319134082108,0.409692432898244,475.307903190399,-0.587713190496909,1.02235145866113,"BgNav1","1","Corriente"
40,"Veneno",0.137450014054729,0.408425818536302,475.307903190399,-0.665093454440404,0.939993482549862,"BgNav1","1","Corriente"
45,"Control",0.330282224793235,0.413862964805327,475.307903190399,-0.482945059531898,1.14350950911837,"BgNav1","1","Corriente"
45,"Veneno",0.399125259295496,0.412373657456039,475.307903190399,-0.411175584458284,1.20942610304928,"BgNav1","1","Corriente"
50,"Control",0.416637140334106,0.409343231732388,475.307903190399,-0.387709015295423,1.22098329596364,"BgNav1","1","Corriente"
50,"Veneno",0.59966030896984,0.408391826223605,475.307903190399,-0.202816365734853,1.40213698367453,"BgNav1","1","Corriente"
55,"Control",0.501118241924864,0.420892846231599,475.307903190399,-0.325922531085114,1.32815901493484,"BgNav1","1","Corriente"
55,"Veneno",0.754174764647378,0.419131163196909,475.307903190399,-0.0694043584156998,1.57775388771046,"BgNav1","1","Corriente"
60,"Control",0.596503829196955,0.411020226713127,475.307903190399,-0.211137567103976,1.40414522549789,"BgNav1","1","Corriente"
60,"Veneno",0.892242364413828,0.41025393917684,475.307903190399,0.0861066982340749,1.69837803059358,"BgNav1","1","Corriente"
65,"Control",0.699564173953978,0.513154915566027,475.307903190399,-0.308768568793729,1.70789691670168,"BgNav1","1","Corriente"
65,"Veneno",1.03073509113917,0.511742465101724,475.307903190399,0.0251777676799967,2.03629241459835,"BgNav1","1","Corriente"
