Canal,Tratamiento,Concentracion,Celula,Voltaje,Corriente,Var1,Var2
Nav1.2,Veneno,2,3,-50,-0.1554731578,0.03094165021,0.692124868
Nav1.2,Veneno,2,3,-45,-0.1799351573,0.03769471598,0.4988850726
Nav1.2,Veneno,2,3,-40,-0.2909081578,0.06432820653,0.3418578562
Nav1.2,Veneno,2,3,-35,-2.836936712,0.6642304402,0.244571376
Nav1.2,Veneno,2,3,-30,-3.761594296,0.9357719412,0.169690459
Nav1.2,Veneno,2,3,-25,-3.735008717,0.9911021289,0.1078540615
Nav1.2,Veneno,2,3,-20,-3.517304659,1,0.06273562852
Nav1.2,Veneno,2,3,-15,-3.206466675,0.9817511681,0.03298191907
Nav1.2,Veneno,2,3,-10,-2.843895197,0.9433012069,0.02373750059
Nav1.2,Veneno,2,3,-5,-2.443739176,0.8842604773,0.01005962453
Nav1.2,Veneno,2,3,0,-2.013726473,0.8015276854,0
Nav1.2,Veneno,2,3,5,-1.626980305,,
Nav1.2,Veneno,2,3,10,-1.281662583,,
Nav1.2,Veneno,2,3,15,-1.013277054,,
Nav1.2,Veneno,2,3,20,-0.5563405156,,
Nav1.2,Veneno,2,3,25,-0.2452604473,,
Nav1.2,Veneno,2,3,30,-0.1040372029,,
Nav1.2,Veneno,2,3,35,-0.05365797132,,
Nav1.2,Veneno,2,3,40,-0.08266738057,,
Nav1.2,Veneno,2,3,45,-0.06565061957,,
Nav1.2,Veneno,2,3,50,-0.0363335833,,
Nav1.2,Veneno,2,3,55,-0.02446449921,,
Nav1.2,Veneno,2,3,60,0.02283780277,,
Nav1.2,Veneno,2,3,65,0.07289413363,,
Nav1.4,Control,2,1,-90,-0.02152134478,0.004981289348,
Nav1.4,Control,2,1,-85,-0.01173421741,0.002835101453,
Nav1.4,Control,2,1,-80,-0.004639968276,0.001172486467,
Nav1.4,Control,2,1,-75,0.003748074174,-0.0009926454658,
Nav1.4,Control,2,1,-70,0.01303444803,-0.003626408931,
Nav1.4,Control,2,1,-65,0.01954199374,-0.005726118636,
Nav1.4,Control,2,1,-60,0.02840283513,-0.008790043246,
Nav1.4,Control,2,1,-55,0.03518332541,-0.01153657582,
Nav1.4,Control,2,1,-50,0.04355846345,-0.01518674797,
Nav1.4,Control,2,1,-45,0.03579798341,-0.01332435418,
Nav1.4,Control,2,1,-40,0.0207605511,-0.008287224664,
Nav1.4,Control,2,1,-35,-0.02595283091,0.01116925198,
Nav1.4,Control,2,1,-30,-0.2639706135,0.1232318294,
Nav1.4,Control,2,1,-25,-1.007439017,0.5138594319,
Nav1.4,Control,2,1,-20,-1.282655954,0.7209969492,
Nav1.4,Control,2,1,-15,-1.356113076,0.8489117654,
Nav1.4,Control,2,1,-10,-1.295095086,0.9146530229,
Nav1.4,Control,2,1,-5,-1.170396447,0.9481420399,
Nav1.4,Control,2,1,0,-1.013009548,0.962132459,
Nav1.4,Control,2,1,5,-0.8530157208,,
Nav1.4,Control,2,1,10,-0.6898176074,,
Nav1.4,Control,2,1,15,-0.306617856,,
Nav1.4,Control,2,1,20,-0.1976958811,,
Nav1.4,Control,2,1,25,-0.07541495562,,
Nav1.4,Control,2,1,30,0.01500734687,,
Nav1.4,Control,2,1,35,0.1009701937,,
Nav1.4,Control,2,1,40,0.008314967155,,
Nav1.4,Control,2,1,45,0.04261285067,,
Nav1.4,Control,2,1,50,-0.06650038064,,
Nav1.4,Control,2,1,55,-0.02965147793,,
Nav1.4,Control,2,1,60,0.007403738797,,
Nav1.4,Control,2,1,65,0.3245437145,,
Nav1.4,Veneno,2,1,-90,-0.03594315052,0.01392552026,
Nav1.4,Veneno,2,1,-85,-0.02714630961,0.01090118885,
Nav1.4,Veneno,2,1,-80,-0.02312167734,0.009636715492,
Nav1.4,Veneno,2,1,-75,-0.01824500412,0.007903580426,
Nav1.4,Veneno,2,1,-70,-0.03349355608,0.01510375949,
Nav1.4,Veneno,2,1,-65,-0.05156446993,0.02424645932,
Nav1.4,Veneno,2,1,-60,-0.07175112516,0.03524474115,
Nav1.4,Veneno,2,1,-55,-0.107710667,0.05538071642,
Nav1.4,Veneno,2,1,-50,-0.1700033844,0.09169402304,
Nav1.4,Veneno,2,1,-45,-0.2673544586,0.1516349558,
Nav1.4,Veneno,2,1,-40,-0.3831778765,0.229137532,
Nav1.4,Veneno,2,1,-35,-0.5326279998,0.3368126333,
